City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
164,Misratah,LY,2022-10-12 00:07:36,32.3754,15.0925,79.45,54,13,7.07
165,Anchorage,US,2022-10-12 00:05:01,61.2181,-149.9003,41.31,60,40,6.91
166,Vestmannaeyjar,IS,2022-10-12 00:07:37,63.4427,-20.2734,45.27,69,76,20.38
167,Bambous Virieux,MU,2022-10-12 00:07:37,-20.3428,57.7575,70.05,78,20,8.05
168,Aleksandrovka,UA,2022-10-12 00:07:38,46.8383,32.7612,45.9,43,20,4.38
169,Bud,US,2022-10-12 00:07:38,39.447,-86.1758,70.68,49,79,7.52
170,Bossangoa,CF,2022-10-12 00:07:39,6.4926,17.4552,69.42,97,91,1.92
171,Kisangani,CD,2022-10-12 00:07:39,0.5167,25.2,69.39,99,100,2.89
172,Fiche,ET,2022-10-12 00:07:40,9.8,38.7333,48.83,76,62,2.06
173,Nueva Concepcion,GT,2022-10-12 00:07:40,14.2,-91.3,74.1,95,100,4.21
174,Yeppoon,AU,2022-10-12 00:07:41,-23.1333,150.7333,73.18,63,24,13.47
175,Salina Cruz,MX,2022-10-12 00:07:41,16.1667,-95.2,76.21,87,100,8.59
176,College,US,2022-10-12 00:02:22,64.8569,-147.8028,33.58,85,99,1.01
177,Ponnani,IN,2022-10-12 00:07:42,10.767,75.9252,74.52,88,63,3.15
178,Chapais,CA,2022-10-12 00:02:17,49.7834,-74.8492,44.67,85,25,8.86
179,Auki,SB,2022-10-12 00:08:42,-8.7676,160.7034,84.9,68,15,2.89
180,Tiznit,MA,2022-10-12 00:08:43,29.5833,-9.5,60.91,83,67,7.18
181,Clyde River,CA,2022-10-12 00:08:44,70.4692,-68.5914,23.23,74,100,16.11
182,Hithadhoo,MV,2022-10-12 00:08:45,-0.6,73.0833,81.64,77,100,16.75
183,Noumea,NC,2022-10-12 00:08:45,-22.2763,166.4572,82.38,99,90,12.01
184,Ambilobe,MG,2022-10-12 00:08:46,-13.2,49.05,63.54,78,0,3.74
185,Turukhansk,RU,2022-10-12 00:08:46,65.8167,87.9833,33.84,94,100,10.83
186,Hoquiam,US,2022-10-12 00:08:47,46.9809,-123.8893,72.45,74,0,8.05
187,Saldanha,ZA,2022-10-12 00:08:47,-33.0117,17.9442,60.51,94,100,15.5
188,Aksarka,RU,2022-10-12 00:08:47,66.5606,67.7975,34.3,91,9,10.22
189,Tautira,PF,2022-10-12 00:08:48,-17.7333,-149.15,76.77,80,32,16.26
190,Puerto Escondido,MX,2022-10-12 00:08:48,15.85,-97.0667,76.03,73,100,6.91
191,Venice,US,2022-10-12 00:03:58,27.0998,-82.4543,83.98,84,100,4.0
192,Fukue,JP,2022-10-12 00:06:41,32.6881,128.8419,67.35,64,7,22.03
193,Najran,SA,2022-10-12 00:04:27,17.4924,44.1277,67.24,30,1,2.55
194,Tesalia,CO,2022-10-12 00:08:50,2.4859,-75.7292,72.52,76,43,3.53
195,Alofi,NU,2022-10-12 00:08:51,-19.0595,-169.9187,77.09,84,37,18.48
196,Lagoa,PT,2022-10-12 00:08:51,39.05,-27.9833,69.73,81,31,2.26
197,Amontada,BR,2022-10-12 00:08:52,-3.3617,-39.8317,78.94,71,66,10.98
198,Chokurdakh,RU,2022-10-12 00:08:52,70.6333,147.9167,13.64,80,83,9.55
199,Bathsheba,BB,2022-10-12 00:08:53,13.2167,-59.5167,81.21,89,20,12.66
200,Tawau,MY,2022-10-12 00:08:53,4.2498,117.8871,79.07,86,100,3.67
201,Voh,NC,2022-10-12 00:08:54,-20.9667,164.7,86.05,48,97,3.27
202,Amahai,ID,2022-10-12 00:08:54,-3.3333,128.9167,82.0,76,97,1.19
203,Acapulco,MX,2022-10-12 00:06:26,16.8634,-99.8901,78.62,89,100,5.75
204,Tezu,IN,2022-10-12 00:07:28,27.9167,96.1667,70.65,96,99,2.15
205,Klaksvik,FO,2022-10-12 00:08:55,62.2266,-6.589,50.92,98,100,17.13
206,Mezen,RU,2022-10-12 00:08:56,65.8522,44.24,40.41,91,45,10.04
207,Skjervoy,NO,2022-10-12 00:08:56,70.0311,20.9714,42.8,81,100,29.1
208,Aklavik,CA,2022-10-12 00:08:57,68.2191,-135.0107,28.56,81,56,3.11
209,Desterro,BR,2022-10-12 00:08:57,-7.2906,-37.0939,72.27,62,9,16.6
210,Cavalcante,BR,2022-10-12 00:08:58,-13.7975,-47.4583,78.93,26,45,6.02
211,Santa Isabel,BR,2022-10-12 00:05:31,-23.3156,-46.2214,71.01,68,100,1.79
212,Hanna,CA,2022-10-12 00:08:58,51.6334,-111.9018,51.85,39,44,11.01
213,Palauig,PH,2022-10-12 00:08:59,15.435,119.9045,83.39,71,95,6.69
214,Kloulklubed,PW,2022-10-12 00:08:59,7.0419,134.2556,82.9,74,98,14.88
215,Sibolga,ID,2022-10-12 00:09:00,1.7427,98.7792,76.23,82,98,2.71
216,Sabang,ID,2022-10-12 00:09:00,5.8933,95.3214,80.98,75,100,10.51
217,Moosomin,CA,2022-10-12 00:09:01,50.1333,-101.6677,50.81,32,56,17.11
218,Leningradskiy,RU,2022-10-12 00:09:02,69.3833,178.4167,22.6,71,95,16.8
219,Nyurba,RU,2022-10-12 00:09:02,63.2842,118.3319,35.02,99,100,5.7
220,Meulaboh,ID,2022-10-12 00:09:03,4.1363,96.1285,76.8,86,98,3.27
221,Fort Saint James,CA,2022-10-12 00:10:03,54.4333,-124.25,59.56,45,48,8.81
222,Nuuk,GL,2022-10-12 00:10:04,64.1835,-51.7216,27.21,93,75,1.14
223,Abhar,IR,2022-10-12 00:10:05,36.1468,49.218,50.81,75,3,6.69
224,Korla,CN,2022-10-12 00:10:05,41.7597,86.1469,43.43,76,9,9.93
225,Regina,CA,2022-10-12 00:07:26,50.4501,-104.6178,52.03,40,84,20.0
226,Letlhakane,BW,2022-10-12 00:10:07,-21.4167,25.5833,70.48,40,0,11.72
227,Vidim,RU,2022-10-12 00:10:07,56.4088,103.1106,38.55,97,100,11.68
228,Gouyave,GD,2022-10-12 00:10:08,12.1646,-61.7296,80.17,78,100,15.46
229,Pisco,PE,2022-10-12 00:10:08,-13.7,-76.2167,62.02,82,0,16.11
230,Ansalta,RU,2022-10-12 00:10:08,42.6894,46.1178,43.88,83,27,1.59
231,Partizanske,SK,2022-10-12 00:10:09,48.6286,18.3846,51.96,92,23,4.29
232,Cairo,EG,2022-10-12 00:07:47,30.0626,31.2497,72.36,78,0,8.05
233,Mitchell,US,2022-10-12 00:05:19,43.7094,-98.0298,66.74,43,0,25.32
234,Awjilah,LY,2022-10-12 00:10:10,29.1081,21.2869,73.72,38,100,4.74
235,Ormara,PK,2022-10-12 00:10:10,25.2088,64.6357,77.99,64,0,4.41
236,Verkhovazhye,RU,2022-10-12 00:10:11,60.7472,42.0465,38.05,91,11,5.82
237,Belmopan,BZ,2022-10-12 00:10:12,17.25,-88.7667,78.39,90,100,4.68
238,San Jeronimo,PE,2022-10-12 00:10:12,-11.9472,-75.2829,52.43,78,77,3.13
239,Mahanoro,MG,2022-10-12 00:10:13,-19.9,48.8,68.04,79,49,4.23
240,Kahului,US,2022-10-12 00:10:13,20.8947,-156.47,89.62,70,40,14.97
241,Micoud,LC,2022-10-12 00:10:14,13.8167,-60.9,80.58,83,100,15.84
242,Abeche,TD,2022-10-12 00:10:14,13.8292,20.8324,80.53,51,59,4.92
243,San Policarpo,PH,2022-10-12 00:10:15,12.1791,125.5072,80.82,84,100,5.93
244,Tazovskiy,RU,2022-10-12 00:10:15,67.4667,78.7,37.22,92,100,12.68
245,Thinadhoo,MV,2022-10-12 00:10:16,0.5333,72.9333,82.51,75,100,19.08
246,Mubi,NG,2022-10-12 00:10:16,10.2676,13.2644,73.44,71,43,4.85
247,Agirish,RU,2022-10-12 00:10:17,61.9247,63.0231,35.65,97,46,2.82
248,Nanortalik,GL,2022-10-12 00:10:18,60.1432,-45.2371,33.26,76,52,8.01
249,Sao Paulo De Olivenca,BR,2022-10-12 00:10:18,-3.3783,-68.8725,74.3,97,90,3.62
250,Kota Bahru,MY,2022-10-12 00:10:19,6.1333,102.2386,75.6,93,100,4.5
251,Shingu,JP,2022-10-12 00:10:20,33.7333,135.9833,68.16,54,99,3.71
252,Kudahuvadhoo,MV,2022-10-12 00:10:20,2.6708,72.8944,82.06,76,92,19.71
253,Limenaria,GR,2022-10-12 00:10:20,40.6261,24.5786,64.94,60,71,8.59
254,Ilhabela,BR,2022-10-12 00:10:21,-23.7781,-45.3581,71.58,94,97,2.15
255,Rocha,UY,2022-10-12 00:10:21,-34.4833,-54.3333,53.71,98,100,9.91
256,Komyshnya,UA,2022-10-12 00:10:22,50.1859,33.684,40.68,66,7,5.01
257,Tomatlan,MX,2022-10-12 00:10:22,19.9333,-105.25,83.52,82,3,2.86
258,Sioux Lookout,CA,2022-10-12 00:10:23,50.1001,-91.917,63.66,57,17,10.07
259,Ucluelet,CA,2022-10-12 00:10:23,48.9329,-125.5528,57.09,83,0,1.01
260,Ponta Do Sol,PT,2022-10-12 00:02:25,32.6667,-17.1,70.43,65,3,7.07
261,Bilma,NE,2022-10-12 00:10:24,18.6853,12.9164,82.17,18,0,7.05
262,Hualmay,PE,2022-10-12 00:10:24,-11.0964,-77.6139,62.62,82,58,10.94
263,Longyan,CN,2022-10-12 00:10:25,25.1072,117.0225,61.99,55,10,4.34
264,Lokachi,UA,2022-10-12 00:10:25,50.737,24.6494,44.74,87,37,5.95
265,Kodinsk,RU,2022-10-12 00:10:26,58.6881,99.1844,39.4,82,99,9.89
266,Terney,RU,2022-10-12 00:10:26,45.0503,136.6092,49.01,49,0,8.28
267,Roma,US,2022-10-12 00:06:14,43.2128,-75.4557,60.87,82,0,0.0
